Liverpool,2052
Manchester City,2044
Bayern,1971
Real Madrid,1968
Chelsea,1910
Ajax,1886
Arsenal, 1878
Barcelona,1875
PSG,1858
Manchester United,1850
Tottenham,1847
Inter,1847
Atletico Madrid,1838
Leipzig,1828
Villarreal,1820
Porto,1817
Sevilla,1814
Juventus,1808
Milan,1801
West Ham,1800
Dortmund,1793
Leicester,1781
Leverkusen,1780
Napoli,1778
Salzburg,1765
Benfica,1764
Sporting,1760
Crystal Palace,1758
PSV,1756
Betis,1749
Newcastle,1749
Aston Villa,1747
